Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment,social_metric1,social_metric2,social_metric3,social_community1,social_community2,social_community3
Op_Param,Op_Param,Taod,Annual operating days,260,days/year,,,,,,,[0],,,,,,,
Op_Param,Op_Param,Tdoh,Daily operating hours,8,hours/day,,,,,,,[0],,,,,,,
Op_Param,Op_Param,Tact,Active composting time,70,days,,,,,,,[0],,,,,,,
Op_Param,Op_Param,Tcur,Curing time,30,days,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Bulk_Density,Bulk Density,240,kg/m3,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Moisture_Content,Moisture Content,0.39,None,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Volatile Solids,Volatile Solids,0.906,None,,,,,,,[0],,,,,,,
Sawdust,Sawdust,C_Cont,C_Cont,53.4,%,,,,,,,[0],,,,,,,
Sawdust,Sawdust,N_Cont,N_Cont,0.25,%,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Pre screen out proportion,Pre screen out proportion,0.05,None,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Post screen out proportion,Post screen out proportion,1,None,,,,,,,[0],,,,,,,
Sawdust,Sawdust,Proportion Vacuumed Out,Proportion Vacuumed Out,1,None,,,,,,,[0],,,,,,,
Sawdust,Sawdust,C Emitted,C Emitted,18,%,,,,,,,[0],,,,,,,
Sawdust,Sawdust,VS loss per C loss,VS loss per C loss,2,None,,,,,,,[0],,,,,,,
Wood_Chips,Wood_Chips,Bulk_Density,Bulk Density,320,kg/m3,,,,,,,[0],,,,,,,
Wood_Chips,Wood_Chips,Moisture_Content,Moisture Content,0.5,None,,,,,,,[0],,,,,,,
Wood_Chips,Wood_Chips,Volatile Solids,Volatile Solids,0.906,None,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,Moisture_Content,Moisture Content,0.2678,None,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,Volatile Solids,Volatile Solids,0.8825,None,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,C_Cont,C_Cont,48.1,%,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,N_Cont,N_Cont,0.1,%,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,Pre screen out proportion,Pre screen out proportion,0,None,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,Post screen out proportion,Post screen out proportion,90,None,,,,,,,[0],,,,,,,
Screen_Rejects,Screen_Rejects,Proportion Vacuumed Out,Proportion Vacuumed Out,1,None,,,,,,,[0],,,,,,,
Degradation Parameters,Deg_Param,initMC,Minimum initial moisture content,0.55,None,,,,,,,[0],,,,,,,
