,Assumed_Comp,Degrades
Description,Incoming composition,Degrades
Unit,Mg component/Mg,"(1 = Yes, 0 = No)"
Source,,
Yard_Trimmings_Leaves,0.0144,1
Yard_Trimmings_Grass,0.0144,1
Yard_Trimmings_Branches,0.0144,1
Food_Waste_Vegetable,0.089,1
Food_Waste_Non_Vegetable,0.089,1
Wood,0.0448,1
Wood_Other,0.0448,1
Textiles,0.0323,1
Rubber_Leather,0.0083,0
Newsprint,0.0075,1
Corr_Cardboard,0.0747,1
Office_Paper,0.0126,1
Magazines,0.014,1
Third_Class_Mail,0,1
Folding_Containers,0.0062,1
Paper_Bags,0,1
Mixed_Paper,0.1256,1
Paper_Non_recyclable,0,1
HDPE_Translucent_Containers,0.0038,0
HDPE_Pigmented_Containers,0.0047,0
PET_Containers,0.0033,0
Plastic_Other_1_Polypropylene,0.0145,0
Plastic_Other_2,0,0
Mixed_Plastic,0.0444,0
Plastic_Film,0.0569,0
Plastic_Non_Recyclable,0,0
Ferrous_Cans,0.0098,0
Ferrous_Metal_Other,0.0276,0
Aluminum_Cans,0.0043,0
Aluminum_Foil,0,0
Aluminum_Other,0.0039,0
Ferrous_Non_recyclable,0,0
Al_Non_recyclable,0,0
Glass_Brown,0.0101,0
Glass_Green,0.002,0
Glass_Clear,0.01,0
Mixed_Glass,0.0032,0
Glass_Non_recyclable,0,0
Misc_Organic,0.0455,1
Misc_Inorganic,0.1219,0
E_waste,0.0164,0
Bottom_Ash,0,0
Fly_Ash,0,0
Diapers_and_sanitary_products,0.024,0
